Level,ParentCode,ParentName,AreaCode,AreaName,isSIDS,isLDC,isLLDC,Order,childrenNo
3,MDG_NAFR,Northern Africa,DZA,Algeria,FALSE,FALSE,FALSE,1020101,0
3,MDG_NAFR,Northern Africa,EGY,Egypt,FALSE,FALSE,FALSE,1020102,0
3,MDG_NAFR,Northern Africa,LBY,Libya,FALSE,FALSE,FALSE,1020103,0
3,MDG_NAFR,Northern Africa,MAR,Morocco,FALSE,FALSE,FALSE,1020104,0
3,MDG_NAFR,Northern Africa,TUN,Tunisia,FALSE,FALSE,FALSE,1020105,0
3,MDG_NAFR,Northern Africa,ESH,Western Sahara,FALSE,FALSE,FALSE,1020106,0
2,MDG_DEVELOPING_REG,Developing regions,MDG_SSA,Sub-Saharan Africa,FALSE,FALSE,FALSE,1020200,51
3,MDG_SSA,Sub-Saharan Africa,AGO,Angola,FALSE,TRUE,FALSE,1020201,0
3,MDG_SSA,Sub-Saharan Africa,BEN,Benin,FALSE,TRUE,FALSE,1020202,0
3,MDG_SSA,Sub-Saharan Africa,BWA,Botswana,FALSE,FALSE,TRUE,1020203,0
3,MDG_SSA,Sub-Saharan Africa,BFA,Burkina Faso,FALSE,TRUE,TRUE,1020204,0
3,MDG_SSA,Sub-Saharan Africa,BDI,Burundi,FALSE,TRUE,TRUE,1020205,0
3,MDG_SSA,Sub-Saharan Africa,CPV,Cabo Verde,TRUE,FALSE,FALSE,1020206,0
3,MDG_SSA,Sub-Saharan Africa,CMR,Cameroon,FALSE,FALSE,FALSE,1020207,0
3,MDG_SSA,Sub-Saharan Africa,CAF,Central African Republic,FALSE,TRUE,TRUE,1020208,0
3,MDG_SSA,Sub-Saharan Africa,TCD,Chad,FALSE,TRUE,TRUE,1020209,0
3,MDG_SSA,Sub-Saharan Africa,COM,Comoros,TRUE,TRUE,FALSE,1020211,0
3,MDG_SSA,Sub-Saharan Africa,COG,Congo,FALSE,FALSE,FALSE,1020212,0
3,MDG_SSA,Sub-Saharan Africa,CIV,Côte d’Ivoire,FALSE,FALSE,FALSE,1020213,0
3,MDG_SSA,Sub-Saharan Africa,COD,Democratic Republic of the Congo,FALSE,TRUE,FALSE,1020214,0
3,MDG_SSA,Sub-Saharan Africa,DJI,Djibouti,FALSE,TRUE,FALSE,1020215,0
3,MDG_SSA,Sub-Saharan Africa,GNQ,Equatorial Guinea,FALSE,TRUE,FALSE,1020216,0
3,MDG_SSA,Sub-Saharan Africa,ERI,Eritrea,FALSE,TRUE,FALSE,1020217,0
3,MDG_SSA,Sub-Saharan Africa,ETH,Ethiopia,FALSE,TRUE,TRUE,1020218,0
3,MDG_SSA,Sub-Saharan Africa,GAB,Gabon,FALSE,FALSE,FALSE,1020219,0
3,MDG_SSA,Sub-Saharan Africa,GMB,Gambia,FALSE,TRUE,FALSE,1020220,0
3,MDG_SSA,Sub-Saharan Africa,GHA,Ghana,FALSE,FALSE,FALSE,1020221,0
3,MDG_SSA,Sub-Saharan Africa,GIN,Guinea,FALSE,TRUE,FALSE,1020222,0
3,MDG_SSA,Sub-Saharan Africa,GNB,Guinea-Bissau,TRUE,TRUE,FALSE,1020223,0
3,MDG_SSA,Sub-Saharan Africa,KEN,Kenya,FALSE,FALSE,FALSE,1020224,0
3,MDG_SSA,Sub-Saharan Africa,LSO,Lesotho,FALSE,TRUE,TRUE,1020225,0
3,MDG_SSA,Sub-Saharan Africa,LBR,Liberia,FALSE,TRUE,FALSE,1020226,0
3,MDG_SSA,Sub-Saharan Africa,MDG,Madagascar,FALSE,TRUE,FALSE,1020227,0
3,MDG_SSA,Sub-Saharan Africa,MWI,Malawi,FALSE,TRUE,TRUE,1020228,0
3,MDG_SSA,Sub-Saharan Africa,MLI,Mali,FALSE,TRUE,TRUE,1020229,0
3,MDG_SSA,Sub-Saharan Africa,MRT,Mauritania,FALSE,TRUE,FALSE,1020230,0
3,MDG_SSA,Sub-Saharan Africa,MUS,Mauritius,TRUE,FALSE,FALSE,1020231,0
3,MDG_SSA,Sub-Saharan Africa,MYT,Mayotte,FALSE,FALSE,FALSE,1020232,0
3,MDG_SSA,Sub-Saharan Africa,MOZ,Mozambique,FALSE,TRUE,FALSE,1020233,0
